回,受賞年,著者名,タイトル
1,1935年上半期,川口松太郎,鶴八鶴次郎・風流深川唄
2,1935年下半期,鷲尾雨工,吉野朝太平記
3,1936年上半期,海音寺潮五郎,天正女合戦・武道傳來記
4,1936年下半期,木々高太郎,人生の阿呆
5,1937年上半期,-,該当作品なし
6,1937年下半期,井伏鱒二,ジョン萬次郎漂流記・その他
7,1938年上半期,橘外男,ナリン殿下への回想
8,1938年下半期,大池唯雄,兜首・秋田口の兄弟
9,1939年上半期,-,該当作品なし
10,1939年下半期,-,該当作品なし
11,1940年上半期,河内仙介,軍事郵便
11,1940年上半期,堤千代,小指・その他
12,1940年下半期,村上元三,上総風土記・その他
13,1941年上半期,木村荘十,雲南守備兵
14,1941年下半期,-,該当作品なし
15,1942年上半期,-,該当作品なし
16,1942年下半期,神崎武雄,寛容・その他
16,1942年下半期,田岡典夫,強情いちご・その他
17,1943年上半期,-,該当作品なし
18,1943年下半期,森荘已池,山畠・蛾と笹舟
19,1944年上半期,岡田誠三,ニューギニヤ山岳戦
20,1944年下半期,-,該当作品なし
21,1949年上半期,富田常雄,面・刺青
22,1949年下半期,山田克郎,海の廃園
23,1950年上半期,小山いと子,執行猶予
23,1950年上半期,今日出海,天皇の帽子
24,1950年下半期,檀一雄,真説石川五右衛門・長恨歌
25,1951年上半期,源氏鶏太,英語屋さん・その他
26,1951年下半期,久生十蘭,鈴木主水
26,1951年下半期,柴田錬三郎,イエスの裔
27,1952年上半期,藤原審爾,罪な女・その他
28,1952年下半期,立野信之,叛乱
29,1953年上半期,-,該当作品なし
30,1953年下半期,-,該当作品なし
31,1954年上半期,有馬頼義,終身未決囚
32,1954年下半期,戸川幸夫,高安犬物語
32,1954年下半期,梅崎春生,ボロ家の春秋
33,1955年上半期,-,該当作品なし
34,1955年下半期,新田次郎,強力伝
34,1955年下半期,邱永漢,香港
35,1956年上半期,南條範夫,燈台鬼
35,1956年上半期,今官一,壁の花
36,1956年下半期,今東光,お吟さま
36,1956年下半期,穂積驚,勝烏
37,1957年上半期,江崎誠致,ルソンの谷間
38,1957年下半期,-,該当作品なし
39,1958年上半期,榛葉英治,赤い雪
39,1958年上半期,山崎豊子,花のれん
40,1958年下半期,多岐川恭,落ちる
40,1958年下半期,城山三郎,総会屋錦城
41,1959年上半期,渡邊喜恵子,馬淵川
41,1959年上半期,平岩弓枝,鏨師
42,1959年下半期,戸板康二,團十郎切腹事件
42,1959年下半期,司馬遼太郎,梟の城
43,1960年上半期,池波正太郎,錯乱
44,1960年下半期,寺内大吉,はぐれ念仏
44,1960年下半期,黒岩重吾,背徳のメス
45,1961年上半期,水上勉,雁の寺
46,1961年下半期,伊藤桂一,螢の河
47,1962年上半期,杉森久英,天才と狂人の間
48,1962年下半期,杉本苑子,孤愁の岸
48,1962年下半期,山口瞳,江分利満氏の優雅な生活
49,1963年上半期,佐藤得二,女のいくさ
50,1963年下半期,和田芳恵,塵の中
50,1963年下半期,安藤鶴夫,巷談本牧亭
51,1964年上半期,-,該当作品なし
52,1964年下半期,永井路子,炎環
52,1964年下半期,安西篤子,張少子（チャンシャオツ）の話
53,1965年上半期,藤井重夫,虹
54,1965年下半期,千葉治平,虜愁記
54,1965年下半期,新橋遊吉,八百長
55,1966年上半期,立原正秋,白い罌粟
56,1966年下半期,五木寛之,蒼ざめた馬を見よ
57,1967年上半期,生島治郎,追いつめる
58,1967年下半期,野坂昭如,アメリカひじき・火垂るの墓
58,1967年下半期,三好徹,聖少女
59,1968年上半期,-,該当作品なし
60,1968年下半期,陳舜臣,青玉獅子香炉
60,1968年下半期,早乙女貢,僑人の檻
61,1969年上半期,佐藤愛子,戦いすんで日が暮れて
62,1969年下半期,-,該当作品なし
63,1970年上半期,結城昌治,軍旗はためく下に
63,1970年上半期,渡辺淳一,光と影
64,1970年下半期,豊田穣,長良川
65,1971年上半期,-,該当作品なし
66,1971年下半期,-,該当作品なし
67,1972年上半期,綱淵謙錠,斬
67,1972年上半期,井上ひさし,手鎖心中
68,1972年下半期,-,該当作品なし
69,1973年上半期,藤沢周平,暗殺の年輪
69,1973年上半期,長部日出雄,津軽世去れ節・津軽じょんから節
70,1973年下半期,-,該当作品なし
71,1974年上半期,藤本義一,鬼の詩
72,1974年下半期,井出孫六,アトラス伝説
72,1974年下半期,半村良,雨やどり
73,1975年上半期,-,該当作品なし
74,1975年下半期,佐木隆三,復讐するは我にあり
75,1976年上半期,-,該当作品なし
76,1976年下半期,三好京三,子育てごっこ
77,1977年上半期,-,該当作品なし
78,1977年下半期,-,該当作品なし
79,1978年上半期,津本陽,深重の海
79,1978年上半期,色川武大,離婚
80,1978年下半期,宮尾登美子,一絃の琴
80,1978年下半期,有明夏夫,大浪花諸人往来
81,1979年上半期,田中小実昌,浪曲師朝日丸の話・ミミのこと
81,1979年上半期,阿刀田高,ナポレオン狂
82,1979年下半期,-,該当作品なし
83,1980年上半期,向田邦子,花の名前・かわうそ・犬小屋
83,1980年上半期,志茂田景樹,黄色い牙
84,1980年下半期,中村正軌,元首の謀叛
85,1981年上半期,青島幸男,人間万事塞翁が丙午
86,1981年下半期,光岡明,機雷
86,1981年下半期,つかこうへい,蒲田行進曲
87,1982年上半期,深田祐介,炎熱商人
87,1982年上半期,村松友視,時代屋の女房
88,1982年下半期,-,該当作品なし
89,1983年上半期,胡桃沢耕史,黒パン俘虜記
90,1983年下半期,神吉拓郎,私生活
90,1983年下半期,高橋治,秘伝
91,1984年上半期,難波利三,てんのじ村
91,1984年上半期,連城三紀彦,恋文
92,1984年下半期,-,該当作品なし
93,1985年上半期,山口洋子,演歌の虫・老梅
94,1985年下半期,森田誠吾,魚河岸ものがたり
94,1985年下半期,林真理子,最終便に間に合えば・京都まで
95,1986年上半期,皆川博子,恋紅
96,1986年下半期,常盤新平,遠いアメリカ
96,1986年下半期,逢坂剛,カディスの赤い星
97,1987年上半期,白石一郎,海狼伝
97,1987年上半期,山田詠美,ソウル・ミュージック ラバーズ・オンリー
98,1987年下半期,阿部牧郎,それぞれの終楽章
99,1988年上半期,西木正明,凍れる瞳・端島の女
99,1988年上半期,景山民夫,遠い海から来たCOO
100,1988年下半期,藤堂志津子,熟れてゆく夏
100,1988年下半期,杉本章子,東京新大橋雨中図
101,1989年上半期,ねじめ正一,高円寺純情商店街
101,1989年上半期,笹倉明,遠い国からの殺人者
102,1989年下半期,星川清司,小伝抄
102,1989年下半期,原【りょう】,私が殺した少女
103,1990年上半期,泡坂妻夫,蔭桔梗
104,1990年下半期,古川薫,漂泊者のアリア
105,1991年上半期,宮城谷昌光,夏姫春秋
105,1991年上半期,芦原すなお,青春デンデケデケデケ
106,1991年下半期,高橋義夫,狼奉行
106,1991年下半期,高橋克彦,緋い記憶
107,1992年上半期,伊集院静,受け月
108,1992年下半期,出久根達郎,佃島ふたり書房
109,1993年上半期,北原亞以子,恋忘れ草
109,1993年上半期,高村薫,マークスの山
110,1993年下半期,佐藤雅美,恵比寿屋喜兵衛手控え
110,1993年下半期,大沢在昌,新宿鮫 無間人形
111,1994年上半期,中村彰彦,二つの山河
111,1994年上半期,海老沢泰久,帰郷
112,1994年下半期,-,該当作品なし
113,1995年上半期,赤瀬川隼,白球残映
114,1995年下半期,藤原伊織,テロリストのパラソル
114,1995年下半期,小池真理子,恋
115,1996年上半期,乃南アサ,凍える牙
116,1996年下半期,坂東眞砂子,山妣
117,1997年上半期,浅田次郎,鉄道員（ぽっぽや）
117,1997年上半期,篠田節子,女たちのジハード
118,1997年下半期,-,該当作品なし
119,1998年上半期,車谷長吉,赤目四十八瀧心中未遂
120,1998年下半期,宮部みゆき,理由
121,1999年上半期,桐野夏生,柔らかな頬
121,1999年上半期,佐藤賢一,王妃の離婚
122,1999年下半期,なかにし礼,長崎ぶらぶら節
123,2000年上半期,船戸与一,虹の谷の五月
123,2000年上半期,金城一紀,GO
124,2000年下半期,山本文緒,プラナリア
124,2000年下半期,重松清,ビタミンF
125,2001年上半期,藤田宜永,愛の領分
126,2001年下半期,唯川恵,肩ごしの恋人
126,2001年下半期,山本一力,あかね空
127,2002年上半期,乙川優三郎,生きる
128,2002年下半期,-,該当作品なし
129,2003年上半期,村山由佳,星々の舟
129,2003年上半期,石田衣良,4TEEN
130,2003年下半期,京極夏彦,後巷説百物語
130,2003年下半期,江國香織,号泣する準備はできていた
131,2004年上半期,熊谷達也,邂逅の森
131,2004年上半期,奥田英朗,空中ブランコ
132,2004年下半期,角田光代,対岸の彼女
133,2005年上半期,朱川湊人,花まんま
134,2005年下半期,東野圭吾,容疑者Ｘの献身
135,2006年上半期,森絵都,風に舞いあがるビニールシート
135,2006年上半期,三浦しをん,まほろ駅前多田便利軒
136,2006年下半期,-,該当作品なし
137,2007年上半期,松井今朝子,吉原手引草
138,2007年下半期,桜庭一樹,私の男
139,2008年上半期,井上荒野,切羽へ
140,2008年下半期,山本兼一,利休にたずねよ
140,2008年下半期,天童荒太,悼む人
141,2009年上半期,北村薫,鷺と雪
142,2009年下半期,佐々木譲,廃墟に乞う
142,2009年下半期,白石一文,ほかならぬ人へ
143,2010年上半期,中島京子,小さいおうち
144,2010年下半期,道尾秀介,月と蟹
144,2010年下半期,木内 昇,漂砂のうたう
145,2011年上半期,池井戸潤,下町ロケット
146,2011年下半期,葉室麟,蜩ノ記
147,2012年上半期,辻村深月,鍵のない夢を見る
148,2012年下半期,朝井リョウ,何者
148,2012年下半期,安部龍太郎,等伯
149,2013年上半期,桜木紫乃,ホテルローヤル
150,2013年下半期,姫野カオルコ,昭和の犬
150,2013年下半期,朝井まかて,恋歌
151,2014年上半期,黒川博行,破門
152,2014年下半期,西加奈子,サラバ！
153,2015年上半期,東山彰良,流
154,2015年下半期,青山文平,つまをめとらば
155,2016年上半期,荻原浩,海の見える理髪店
156,2016年下半期,恩田陸,蜜蜂と遠雷
